start_station_id,ward
31113.0,1.0
31268.0,1.0
31116.0,1.0
31532.0,5.0
31258.0,2.0
31265.0,6.0
31101.0,1.0
31123.0,1.0
31101.0,1.0
31117.0,1.0
31202.0,2.0
31503.0,5.0
31241.0,2.0
31296.0,1.0
31327.0,2.0
31640.0,6.0
31660.0,6.0
31117.0,1.0
31247.0,2.0
31296.0,1.0
31113.0,1.0
31662.0,6.0
31541.0,5.0
31202.0,2.0
31117.0,1.0
31245.0,2.0
31102.0,1.0
31247.0,2.0
31247.0,2.0
31241.0,2.0
31305.0,3.0
31214.0,2.0
31325.0,2.0
31414.0,4.0
31225.0,2.0
31251.0,2.0
31330.0,2.0
31111.0,1.0
31210.0,2.0
31117.0,1.0
31116.0,1.0
31125.0,1.0
31119.0,1.0
31636.0,5.0
31255.0,2.0
31263.0,2.0
31214.0,2.0
31311.0,2.0
31651.0,1.0
31126.0,1.0
31247.0,2.0
31110.0,1.0
31107.0,1.0
31203.0,2.0
31246.0,2.0
31613.0,6.0
31608.0,6.0
31116.0,1.0
31201.0,2.0
31119.0,1.0
31289.0,2.0
31114.0,1.0
31101.0,1.0
31299.0,2.0
31101.0,1.0
31308.0,3.0
31605.0,6.0
31131.0,1.0
31600.0,6.0
31618.0,6.0
31532.0,6.0
31263.0,2.0
31289.0,2.0
31125.0,1.0
31203.0,2.0
31626.0,7.0
31600.0,6.0
31659.0,6.0
31234.0,2.0
31540.0,6.0
31400.0,4.0
31323.0,3.0
31419.0,1.0
31132.0,1.0
31514.0,5.0
31419.0,1.0
30200.0,2.0
31534.0,5.0
31651.0,1.0
31280.0,2.0
31651.0,1.0
31613.0,6.0
31268.0,1.0
31325.0,2.0
31280.0,2.0
31280.0,2.0
31288.0,2.0
31129.0,2.0
31113.0,1.0
31613.0,6.0
31640.0,6.0
31531.0,5.0
31602.0,1.0
31251.0,2.0
31603.0,6.0
31616.0,6.0
31228.0,2.0
31624.0,6.0
31518.0,5.0
31125.0,1.0
31101.0,1.0
31712.0,7.0
31330.0,2.0
31629.0,6.0
31307.0,3.0
31604.0,6.0
31266.0,2.0
31506.0,5.0
31655.0,6.0
31281.0,2.0
31655.0,6.0
31120.0,1.0
31116.0,1.0
31266.0,2.0
31117.0,1.0
31278.0,2.0
31672.0,6.0
31323.0,3.0
31401.0,4.0
31527.0,5.0
31672.0,6.0
31122.0,1.0
31251.0,2.0
31290.0,2.0
31532.0,5.0
31801.0,8.0
31117.0,1.0
31201.0,2.0
31243.0,6.0
31101.0,1.0
31263.0,2.0
31105.0,1.0
31641.0,6.0
31419.0,1.0
31201.0,2.0
31626.0,7.0
31115.0,1.0
31283.0,2.0
31106.0,1.0
31532.0,5.0
31200.0,2.0
31234.0,2.0
31304.0,3.0
31281.0,2.0
31256.0,2.0
31616.0,6.0
31540.0,6.0
31419.0,1.0
31205.0,2.0
31217.0,6.0
31600.0,6.0
31225.0,2.0
31280.0,2.0
31641.0,6.0
31221.0,2.0
31245.0,2.0
31249.0,2.0
31504.0,5.0
31107.0,1.0
31286.0,2.0
31125.0,1.0
31126.0,1.0
31120.0,1.0
31652.0,8.0
31104.0,1.0
31281.0,2.0
31214.0,2.0
31214.0,2.0
31624.0,6.0
31529.0,5.0
31265.0,6.0
31404.0,4.0
31105.0,1.0
31134.0,1.0
31606.0,6.0
31105.0,1.0
31533.0,5.0
31225.0,2.0
31286.0,2.0
31613.0,6.0
31330.0,2.0
31132.0,1.0
31114.0,1.0
31111.0,1.0
31214.0,2.0
31637.0,6.0
31135.0,1.0
31401.0,4.0
31404.0,4.0
31532.0,6.0
31202.0,2.0
31113.0,1.0
31534.0,5.0
31307.0,3.0
31281.0,2.0
31256.0,2.0
31246.0,2.0
31130.0,1.0
31298.0,2.0
31602.0,1.0
31263.0,2.0
31263.0,2.0
31134.0,1.0
31325.0,2.0
31522.0,5.0
31104.0,1.0
31246.0,2.0
31104.0,1.0
31402.0,4.0
31505.0,5.0
31626.0,7.0
31400.0,4.0
31298.0,2.0
31672.0,6.0
31639.0,6.0
31643.0,6.0
31304.0,3.0
31600.0,6.0
31203.0,2.0
31275.0,2.0
31328.0,2.0
31663.0,6.0
31209.0,8.0
31600.0,6.0
31517.0,5.0
31254.0,2.0
31707.0,7.0
31236.0,2.0
31104.0,1.0
31257.0,2.0
31131.0,1.0
31214.0,2.0
31638.0,6.0
31264.0,2.0
31214.0,2.0
31109.0,1.0
31603.0,6.0
31245.0,2.0
31104.0,1.0
31104.0,1.0
31610.0,6.0
31501.0,5.0
31281.0,2.0
31126.0,1.0
31641.0,6.0
31116.0,1.0
31116.0,1.0
31102.0,1.0
31533.0,5.0
31121.0,3.0
31212.0,2.0
31111.0,1.0
31648.0,6.0
31541.0,5.0
31291.0,2.0
31627.0,6.0
31324.0,2.0
31226.0,2.0
31700.0,7.0
31238.0,2.0
31503.0,5.0
31281.0,2.0
31203.0,2.0
31203.0,2.0
31265.0,6.0
31676.0,6.0
31234.0,2.0
31676.0,6.0
31105.0,1.0
31330.0,2.0
31419.0,1.0
31648.0,6.0
31506.0,5.0
31120.0,1.0
31662.0,6.0
31800.0,8.0
31535.0,5.0
31228.0,2.0
31650.0,6.0
31209.0,8.0
31209.0,8.0
31288.0,2.0
31416.0,4.0
31608.0,6.0
31289.0,2.0
31648.0,6.0
31132.0,1.0
31119.0,1.0
31615.0,6.0
31201.0,2.0
31667.0,6.0
31114.0,1.0
31211.0,2.0
31280.0,2.0
31201.0,2.0
31129.0,2.0
31404.0,4.0
31132.0,1.0
31132.0,1.0
31327.0,2.0
31513.0,5.0
31540.0,6.0
31113.0,1.0
31104.0,1.0
31650.0,6.0
31606.0,6.0
31664.0,6.0
31281.0,2.0
31200.0,2.0
31311.0,2.0
31522.0,5.0
31104.0,1.0
31400.0,4.0
31639.0,6.0
31135.0,1.0
31207.0,1.0
31119.0,1.0
31289.0,2.0
31280.0,2.0
31104.0,1.0
31286.0,2.0
31101.0,1.0
31664.0,6.0
31664.0,6.0
31226.0,2.0
31604.0,6.0
31229.0,2.0
31651.0,1.0
31132.0,1.0
31119.0,1.0
31116.0,1.0
31131.0,1.0
31523.0,5.0
31660.0,6.0
31308.0,3.0
31203.0,2.0
31266.0,2.0
31116.0,1.0
31419.0,1.0
31202.0,2.0
31202.0,2.0
31296.0,1.0
31275.0,2.0
31234.0,2.0
31627.0,6.0
31234.0,2.0
31112.0,1.0
31707.0,7.0
31629.0,6.0
31332.0,1.0
31312.0,2.0
31209.0,8.0
31114.0,1.0
31604.0,6.0
31202.0,2.0
31134.0,1.0
31503.0,5.0
31604.0,6.0
31107.0,1.0
31324.0,2.0
31327.0,2.0
31622.0,6.0
31226.0,2.0
31202.0,2.0
31104.0,1.0
31101.0,1.0
31636.0,5.0
31101.0,1.0
31629.0,6.0
31506.0,5.0
31201.0,2.0
31620.0,2.0
31626.0,7.0
31650.0,6.0
31123.0,1.0
31224.0,2.0
31285.0,2.0
31119.0,1.0
31135.0,1.0
31113.0,1.0
31116.0,1.0
31401.0,4.0
31229.0,2.0
31117.0,1.0
31124.0,1.0
31119.0,1.0
31652.0,8.0
31663.0,6.0
31652.0,8.0
31663.0,6.0
31311.0,2.0
31121.0,3.0
31130.0,2.0
31230.0,2.0
31296.0,1.0
31506.0,5.0
31246.0,2.0
31123.0,1.0
31114.0,1.0
31114.0,1.0
31115.0,1.0
31311.0,2.0
31522.0,5.0
31609.0,6.0
31644.0,6.0
31124.0,1.0
31268.0,1.0
31296.0,1.0
31241.0,2.0
31135.0,1.0
31125.0,1.0
31651.0,1.0
31506.0,5.0
31214.0,2.0
31417.0,4.0
31229.0,2.0
31324.0,2.0
31282.0,2.0
31616.0,6.0
31125.0,1.0
31132.0,1.0
31662.0,6.0
31305.0,3.0
31125.0,1.0
31311.0,2.0
31604.0,6.0
31280.0,2.0
31650.0,6.0
31330.0,2.0
31132.0,1.0
31132.0,1.0
31268.0,1.0
31602.0,1.0
31136.0,1.0
31104.0,1.0
31514.0,5.0
31131.0,1.0
31651.0,1.0
31634.0,8.0
31634.0,8.0
31284.0,2.0
31536.0,5.0
31662.0,6.0
31323.0,3.0
31649.0,1.0
31265.0,6.0
31131.0,1.0
31120.0,1.0
31237.0,2.0
31600.0,6.0
31234.0,2.0
31130.0,2.0
31108.0,6.0
31411.0,4.0
31125.0,1.0
31135.0,1.0
31204.0,2.0
31664.0,6.0
31536.0,5.0
31417.0,4.0
31417.0,4.0
31503.0,5.0
31527.0,5.0
31323.0,3.0
31703.0,7.0
31126.0,1.0
31117.0,1.0
31117.0,1.0
31126.0,1.0
31298.0,2.0
31122.0,1.0
31500.0,5.0
31117.0,1.0
31113.0,1.0
31659.0,6.0
31286.0,2.0
31525.0,5.0
31654.0,6.0
31306.0,3.0
31266.0,2.0
31326.0,3.0
31677.0,6.0
31632.0,7.0
31417.0,4.0
31132.0,1.0
31501.0,5.0
31118.0,1.0
31114.0,1.0
31243.0,6.0
31120.0,1.0
31330.0,2.0
31527.0,5.0
31622.0,6.0
31255.0,2.0
31121.0,3.0
31524.0,5.0
31662.0,6.0
31117.0,1.0
31201.0,2.0
31105.0,1.0
31306.0,3.0
31324.0,2.0
31600.0,6.0
31132.0,1.0
31306.0,3.0
31512.0,5.0
31651.0,1.0
31630.0,7.0
31104.0,1.0
31133.0,1.0
31533.0,5.0
31701.0,7.0
31118.0,1.0
31118.0,1.0
31330.0,2.0
31200.0,2.0
31125.0,1.0
31135.0,1.0
31627.0,6.0
31518.0,5.0
31119.0,1.0
31660.0,6.0
31202.0,2.0
31721.0,7.0
31631.0,6.0
31622.0,6.0
31127.0,2.0
31115.0,1.0
31509.0,2.0
31649.0,1.0
31113.0,1.0
31400.0,4.0
31296.0,1.0
31202.0,2.0
31828.0,6.0
31526.0,5.0
31135.0,1.0
31116.0,1.0
31131.0,1.0
31134.0,1.0
31503.0,5.0
31229.0,2.0
31117.0,1.0
31505.0,5.0
31511.0,5.0
31123.0,1.0
31115.0,1.0
31107.0,1.0
31110.0,1.0
31125.0,1.0
31108.0,6.0
31133.0,1.0
31125.0,1.0
31132.0,1.0
31234.0,2.0
31122.0,1.0
31626.0,7.0
31522.0,5.0
31404.0,4.0
31322.0,3.0
31229.0,2.0
31419.0,1.0
31424.0,4.0
31125.0,1.0
31507.0,5.0
31515.0,5.0
31417.0,4.0
31404.0,4.0
31115.0,1.0
31536.0,5.0
31527.0,5.0
31107.0,1.0
31643.0,6.0
31123.0,1.0
31200.0,2.0
31828.0,6.0
31403.0,4.0
31298.0,2.0
31506.0,5.0
31133.0,1.0
31109.0,1.0
31803.0,8.0
31107.0,1.0
31313.0,3.0
31104.0,1.0
31133.0,1.0
31401.0,4.0
31283.0,2.0
31602.0,1.0
31321.0,2.0
31283.0,2.0
31229.0,2.0
31616.0,6.0
31270.0,2.0
31229.0,2.0
31603.0,6.0
31812.0,8.0
31603.0,6.0
31115.0,1.0
31659.0,6.0
31125.0,1.0
31325.0,2.0
31126.0,1.0
31201.0,2.0
31115.0,1.0
31102.0,1.0
31612.0,6.0
31676.0,6.0
31325.0,2.0
31133.0,1.0
31201.0,2.0
31507.0,5.0
31102.0,1.0
31500.0,5.0
31650.0,6.0
31120.0,1.0
31126.0,1.0
31228.0,2.0
31400.0,4.0
31304.0,3.0
31408.0,4.0
31616.0,6.0
31102.0,1.0
31122.0,1.0
31252.0,2.0
31619.0,6.0
31233.0,2.0
31669.0,8.0
31507.0,5.0
31124.0,1.0
31102.0,1.0
31631.0,6.0
31268.0,1.0
31660.0,6.0
31250.0,2.0
31200.0,2.0
31241.0,2.0
31666.0,6.0
31102.0,1.0
31627.0,6.0
31669.0,8.0
31627.0,6.0
31102.0,1.0
31531.0,5.0
31675.0,6.0
31114.0,1.0
31330.0,2.0
31237.0,2.0
31644.0,6.0
31511.0,5.0
31534.0,5.0
31102.0,1.0
31524.0,5.0
31404.0,4.0
31613.0,6.0
31234.0,2.0
31123.0,1.0
31529.0,5.0
31214.0,2.0
31101.0,1.0
31285.0,2.0
31536.0,5.0
31640.0,6.0
31119.0,1.0
31524.0,5.0
31606.0,6.0
31102.0,1.0
31531.0,5.0
31128.0,2.0
31516.0,5.0
31600.0,6.0
31647.0,6.0
31640.0,6.0
31613.0,6.0
31214.0,2.0
31102.0,1.0
31123.0,1.0
31279.0,2.0
31672.0,6.0
31242.0,2.0
31419.0,1.0
31242.0,2.0
31123.0,1.0
31647.0,6.0
31640.0,6.0
31218.0,6.0
31124.0,1.0
31636.0,5.0
31136.0,1.0
31662.0,6.0
31209.0,8.0
31218.0,6.0
31102.0,1.0
31281.0,2.0
31228.0,2.0
31118.0,1.0
31124.0,1.0
31201.0,2.0
31620.0,2.0
31220.0,2.0
31627.0,6.0
31644.0,6.0
31401.0,4.0
31213.0,2.0
31131.0,1.0
31515.0,5.0
31125.0,1.0
31136.0,1.0
31647.0,6.0
31297.0,2.0
31280.0,2.0
31107.0,1.0
31226.0,2.0
31531.0,5.0
31532.0,6.0
31330.0,2.0
31333.0,3.0
31233.0,2.0
31656.0,5.0
31312.0,2.0
31107.0,1.0
31635.0,8.0
31640.0,6.0
31426.0,4.0
31299.0,2.0
31649.0,1.0
31645.0,6.0
31119.0,1.0
31280.0,2.0
31228.0,2.0
31252.0,2.0
31662.0,6.0
31511.0,5.0
31649.0,1.0
31665.0,7.0
31215.0,2.0
31325.0,2.0
31531.0,5.0
31328.0,2.0
31278.0,2.0
31110.0,1.0
31511.0,5.0
31328.0,2.0
31210.0,2.0
31110.0,1.0
31531.0,5.0
31200.0,2.0
31421.0,4.0
31275.0,2.0
31402.0,4.0
31102.0,1.0
31282.0,2.0
31299.0,2.0
31618.0,6.0
31200.0,2.0
31215.0,2.0
31624.0,6.0
31649.0,1.0
31123.0,1.0
31615.0,6.0
31426.0,4.0
31632.0,7.0
31426.0,4.0
31208.0,8.0
31524.0,5.0
31421.0,4.0
31224.0,2.0
31401.0,4.0
31205.0,2.0
31720.0,7.0
31624.0,6.0
31632.0,7.0
31260.0,2.0
31233.0,2.0
31645.0,6.0
31624.0,6.0
31207.0,1.0
31624.0,6.0
31130.0,2.0
31540.0,6.0
31210.0,2.0
31516.0,5.0
31411.0,4.0
31828.0,6.0
31426.0,4.0
31626.0,7.0
31603.0,6.0
31401.0,4.0
31118.0,1.0
31104.0,1.0
31224.0,2.0
31136.0,1.0
31308.0,3.0
31136.0,1.0
31274.0,2.0
31263.0,2.0
31295.0,2.0
31618.0,6.0
31232.0,2.0
31515.0,5.0
31641.0,6.0
31655.0,6.0
31102.0,1.0
31649.0,1.0
31669.0,8.0
31288.0,2.0
31675.0,6.0
31128.0,2.0
31273.0,6.0
31624.0,6.0
31415.0,4.0
31401.0,4.0
31676.0,6.0
31107.0,1.0
31200.0,2.0
31213.0,2.0
31658.0,7.0
31649.0,1.0
31228.0,2.0
31134.0,1.0
31232.0,2.0
31418.0,4.0
31268.0,1.0
31641.0,6.0
31327.0,2.0
31407.0,4.0
31132.0,1.0
31224.0,2.0
31325.0,2.0
31633.0,6.0
31603.0,6.0
31122.0,1.0
31328.0,2.0
31302.0,3.0
31295.0,2.0
31401.0,4.0
31237.0,2.0
31320.0,3.0
31213.0,2.0
31115.0,1.0
31518.0,5.0
31407.0,4.0
31252.0,2.0
31603.0,6.0
31281.0,2.0
31675.0,6.0
31511.0,5.0
31121.0,3.0
31641.0,6.0
31501.0,5.0
31600.0,6.0
31304.0,3.0
31126.0,1.0
31277.0,2.0
31221.0,2.0
31511.0,5.0
31417.0,4.0
31304.0,3.0
31223.0,2.0
31117.0,1.0
31700.0,7.0
31649.0,1.0
31295.0,2.0
31269.0,6.0
31656.0,5.0
31295.0,2.0
31306.0,3.0
31535.0,5.0
31304.0,3.0
31287.0,6.0
31266.0,2.0
31266.0,2.0
31285.0,2.0
33200.0,2.0
31201.0,2.0
31282.0,2.0
31676.0,6.0
31210.0,2.0
31613.0,6.0
31124.0,1.0
31402.0,4.0
31401.0,4.0
31241.0,2.0
31248.0,2.0
31238.0,2.0
31248.0,2.0
31624.0,6.0
31236.0,2.0
31247.0,2.0
31649.0,1.0
31101.0,1.0
31661.0,6.0
31281.0,2.0
31320.0,3.0
31122.0,1.0
31275.0,2.0
31672.0,6.0
31243.0,6.0
31649.0,1.0
31650.0,6.0
31225.0,2.0
31640.0,6.0
31101.0,1.0
31204.0,2.0
31130.0,1.0
31291.0,2.0
31296.0,1.0
31502.0,5.0
31426.0,4.0
31327.0,2.0
31638.0,6.0
31320.0,3.0
31325.0,2.0
31535.0,5.0
31136.0,1.0
31132.0,1.0
31200.0,2.0
31217.0,6.0
31257.0,2.0
31298.0,2.0
31655.0,6.0
31532.0,5.0
31210.0,2.0
31236.0,2.0
31236.0,2.0
31257.0,2.0
31220.0,2.0
31229.0,2.0
31641.0,6.0
31646.0,6.0
31657.0,6.0
31223.0,2.0
31600.0,6.0
31507.0,5.0
31613.0,6.0
31426.0,4.0
31128.0,2.0
31221.0,2.0
31413.0,4.0
31205.0,2.0
31659.0,6.0
31600.0,6.0
31248.0,2.0
31669.0,8.0
31251.0,2.0
31299.0,2.0
31505.0,5.0
31234.0,2.0
31643.0,6.0
31646.0,6.0
31202.0,2.0
31237.0,2.0
31609.0,6.0
31236.0,2.0
31203.0,2.0
31285.0,2.0
31233.0,2.0
31291.0,2.0
31233.0,2.0
31236.0,2.0
31518.0,5.0
31205.0,2.0
31242.0,2.0
31309.0,3.0
31267.0,2.0
31200.0,2.0
31122.0,1.0
31325.0,2.0
31301.0,3.0
31128.0,2.0
31632.0,7.0
31301.0,3.0
31201.0,2.0
31328.0,2.0
31245.0,2.0
31245.0,2.0
31258.0,2.0
31232.0,2.0
31257.0,2.0
31234.0,2.0
31803.0,8.0
31289.0,2.0
31233.0,2.0
31802.0,8.0
31238.0,2.0
31208.0,8.0
31111.0,1.0
31233.0,2.0
31101.0,1.0
31221.0,2.0
31114.0,1.0
31229.0,2.0
31512.0,5.0
31242.0,2.0
31720.0,7.0
31111.0,1.0
31271.0,6.0
31531.0,5.0
31264.0,2.0
31298.0,2.0
31655.0,6.0
31647.0,6.0
31220.0,2.0
31624.0,6.0
31666.0,6.0
31504.0,5.0
31627.0,6.0
31288.0,2.0
31116.0,1.0
31632.0,7.0
31655.0,6.0
31212.0,2.0
31228.0,2.0
31648.0,6.0
31256.0,2.0
31515.0,5.0
31641.0,6.0
31305.0,3.0
31263.0,2.0
31655.0,6.0
31649.0,1.0
31245.0,2.0
31304.0,3.0
31304.0,3.0
31247.0,2.0
31205.0,2.0
31132.0,1.0
31226.0,2.0
31420.0,4.0
31426.0,4.0
31266.0,2.0
31656.0,5.0
31536.0,5.0
31243.0,6.0
31328.0,2.0
31247.0,2.0
31659.0,6.0
31236.0,2.0
31506.0,5.0
31221.0,2.0
31518.0,5.0
31108.0,6.0
31219.0,2.0
31518.0,5.0
31641.0,6.0
31285.0,2.0
31652.0,8.0
31420.0,4.0
31653.0,6.0
31653.0,6.0
31636.0,5.0
31310.0,3.0
31506.0,5.0
31404.0,4.0
31518.0,5.0
31217.0,6.0
31641.0,6.0
31217.0,6.0
31253.0,2.0
31133.0,1.0
31669.0,8.0
31610.0,6.0
31200.0,2.0
31233.0,2.0
31404.0,4.0
31133.0,1.0
31217.0,6.0
31670.0,2.0
31133.0,1.0
31504.0,5.0
31602.0,1.0
31116.0,1.0
31276.0,2.0
31509.0,2.0
31236.0,2.0
31639.0,6.0
31333.0,3.0
31239.0,2.0
30201.0,2.0
31613.0,6.0
31302.0,3.0
31643.0,6.0
31204.0,2.0
31312.0,2.0
31615.0,6.0
31258.0,2.0
31263.0,2.0
31119.0,1.0
31207.0,1.0
31125.0,1.0
31201.0,2.0
31128.0,2.0
31670.0,2.0
31117.0,1.0
31283.0,2.0
31256.0,2.0
31283.0,2.0
31232.0,2.0
31416.0,4.0
31626.0,7.0
31100.0,2.0
31279.0,2.0
31278.0,2.0
31104.0,1.0
31613.0,6.0
31606.0,6.0
31654.0,6.0
31653.0,6.0
31202.0,2.0
31251.0,2.0
31203.0,2.0
31283.0,2.0
31205.0,2.0
31512.0,5.0
31283.0,2.0
31286.0,2.0
31302.0,3.0
31275.0,2.0
31629.0,6.0
31135.0,1.0
31223.0,2.0
31289.0,2.0
31304.0,3.0
31812.0,8.0
31213.0,2.0
31202.0,2.0
31242.0,2.0
31204.0,2.0
31131.0,1.0
31248.0,2.0
31218.0,6.0
31127.0,2.0
31227.0,2.0
31250.0,2.0
31258.0,2.0
31251.0,2.0
31274.0,2.0
31138.0,1.0
31233.0,2.0
31247.0,2.0
31401.0,4.0
31221.0,2.0
31401.0,4.0
31239.0,2.0
31239.0,2.0
31520.0,5.0
31117.0,1.0
31604.0,6.0
31134.0,1.0
31286.0,2.0
31133.0,1.0
31298.0,2.0
31276.0,2.0
31263.0,2.0
31225.0,2.0
31225.0,2.0
31291.0,2.0
31247.0,2.0
31119.0,1.0
31257.0,2.0
31670.0,2.0
31247.0,2.0
31289.0,2.0
31609.0,6.0
31269.0,6.0
31108.0,6.0
31220.0,2.0
31120.0,1.0
31330.0,2.0
31263.0,2.0
31283.0,2.0
31282.0,2.0
31205.0,2.0
31233.0,2.0
31408.0,4.0
31224.0,2.0
31628.0,6.0
31620.0,2.0
31655.0,6.0
31225.0,2.0
31401.0,4.0
31245.0,2.0
31653.0,6.0
31653.0,6.0
31626.0,7.0
31325.0,2.0
31325.0,2.0
31273.0,6.0
31517.0,5.0
31265.0,6.0
31609.0,6.0
31609.0,6.0
31288.0,2.0
31297.0,2.0
31275.0,2.0
30201.0,2.0
31254.0,2.0
31828.0,6.0
31616.0,6.0
31110.0,1.0
31200.0,2.0
31304.0,3.0
31507.0,5.0
30201.0,2.0
31615.0,6.0
31615.0,6.0
31628.0,6.0
31619.0,6.0
31643.0,6.0
31622.0,6.0
31203.0,2.0
31290.0,2.0
31265.0,6.0
31603.0,6.0
31213.0,2.0
31239.0,2.0
31129.0,2.0
31262.0,2.0
31271.0,6.0
31290.0,2.0
31312.0,2.0
31215.0,2.0
31615.0,6.0
31215.0,2.0
31290.0,2.0
31312.0,2.0
31215.0,2.0
31299.0,2.0
31247.0,2.0
31303.0,3.0
31250.0,2.0
31324.0,2.0
31666.0,6.0
31100.0,2.0
31229.0,2.0
31609.0,6.0
31212.0,2.0
31280.0,2.0
31637.0,6.0
31247.0,2.0
31101.0,1.0
31224.0,2.0
31225.0,2.0
31500.0,5.0
31236.0,2.0
31236.0,2.0
31615.0,6.0
31236.0,2.0
31312.0,2.0
31128.0,2.0
31619.0,6.0
31201.0,2.0
31606.0,6.0
31533.0,5.0
31295.0,2.0
31201.0,2.0
31295.0,2.0
31128.0,2.0
31277.0,2.0
31247.0,2.0
31241.0,2.0
31328.0,2.0
31223.0,2.0
31641.0,6.0
31515.0,5.0
31701.0,7.0
31131.0,1.0
31216.0,2.0
31272.0,6.0
31213.0,2.0
31655.0,6.0
31233.0,2.0
31236.0,2.0
31641.0,6.0
31271.0,6.0
31212.0,2.0
31282.0,2.0
31200.0,2.0
31232.0,2.0
31118.0,1.0
31330.0,2.0
31200.0,2.0
31276.0,2.0
31275.0,2.0
31323.0,3.0
31238.0,2.0
31323.0,3.0
31703.0,7.0
31312.0,2.0
31310.0,3.0
31104.0,1.0
31215.0,2.0
31229.0,2.0
31600.0,6.0
31234.0,2.0
31283.0,2.0
31516.0,5.0
31200.0,2.0
31320.0,3.0
31655.0,6.0
31212.0,2.0
31655.0,6.0
31233.0,2.0
31231.0,2.0
31221.0,2.0
31257.0,2.0
31132.0,1.0
31404.0,4.0
31330.0,2.0
31293.0,2.0
31263.0,2.0
31613.0,6.0
31247.0,2.0
31661.0,6.0
31615.0,6.0
31247.0,2.0
31239.0,2.0
31279.0,2.0
31234.0,2.0
31209.0,8.0
31642.0,6.0
31272.0,6.0
31325.0,2.0
31285.0,2.0
31135.0,1.0
31135.0,1.0
31257.0,2.0
31263.0,2.0
31529.0,5.0
31322.0,3.0
31104.0,1.0
31239.0,2.0
31128.0,2.0
31417.0,4.0
31250.0,2.0
31238.0,2.0
31230.0,2.0
31258.0,2.0
31236.0,2.0
31219.0,2.0
31224.0,2.0
31285.0,2.0
31236.0,2.0
31203.0,2.0
31200.0,2.0
31247.0,2.0
31259.0,2.0
31295.0,2.0
31283.0,2.0
31252.0,2.0
31642.0,6.0
31252.0,2.0
31252.0,2.0
31226.0,2.0
31400.0,4.0
31315.0,3.0
31314.0,2.0
31271.0,6.0
31603.0,6.0
31604.0,6.0
31418.0,4.0
31606.0,6.0
31321.0,2.0
31222.0,2.0
31401.0,4.0
31633.0,6.0
31655.0,6.0
31250.0,2.0
31239.0,2.0
31229.0,2.0
31669.0,8.0
31519.0,5.0
31216.0,2.0
31332.0,1.0
31643.0,6.0
31243.0,6.0
31138.0,1.0
31626.0,7.0
31264.0,2.0
31243.0,6.0
31264.0,2.0
31604.0,6.0
31253.0,2.0
31601.0,7.0
31627.0,6.0
31532.0,5.0
31226.0,2.0
31515.0,5.0
31677.0,6.0
31639.0,6.0
31676.0,6.0
31236.0,2.0
31219.0,2.0
31281.0,2.0
31108.0,6.0
31219.0,2.0
31129.0,2.0
31632.0,7.0
31220.0,2.0
31264.0,2.0
31126.0,1.0
31302.0,3.0
31271.0,6.0
31666.0,6.0
31670.0,2.0
31230.0,2.0
31295.0,2.0
31319.0,3.0
31306.0,3.0
31236.0,2.0
31536.0,5.0
31220.0,2.0
30200.0,2.0
31600.0,6.0
31277.0,2.0
31536.0,5.0
31260.0,2.0
31252.0,2.0
31126.0,1.0
31109.0,1.0
31236.0,2.0
31116.0,1.0
31649.0,1.0
31239.0,2.0
33200.0,2.0
31219.0,2.0
31276.0,2.0
31251.0,2.0
31125.0,1.0
31275.0,2.0
31203.0,2.0
31639.0,6.0
31116.0,1.0
31659.0,6.0
31220.0,2.0
31274.0,2.0
31602.0,1.0
31603.0,6.0
31111.0,1.0
31272.0,6.0
31286.0,2.0
31204.0,2.0
31202.0,2.0
31272.0,6.0
31314.0,2.0
31324.0,2.0
31323.0,3.0
31419.0,1.0
31226.0,2.0
31277.0,2.0
31626.0,7.0
31330.0,2.0
31325.0,2.0
31328.0,2.0
31667.0,6.0
31101.0,1.0
31101.0,1.0
31204.0,2.0
31300.0,3.0
31257.0,2.0
31119.0,1.0
31119.0,1.0
31238.0,2.0
31646.0,6.0
31628.0,6.0
31102.0,1.0
31242.0,2.0
31241.0,2.0
31600.0,6.0
31505.0,5.0
31236.0,2.0
31119.0,1.0
31602.0,1.0
31306.0,3.0
31129.0,2.0
31220.0,2.0
31129.0,2.0
31220.0,2.0
31611.0,6.0
30200.0,2.0
31129.0,2.0
31514.0,5.0
31316.0,3.0
31602.0,1.0
31300.0,3.0
31611.0,6.0
31295.0,2.0
31530.0,5.0
31647.0,6.0
31239.0,2.0
31802.0,8.0
31102.0,1.0
31602.0,1.0
31408.0,4.0
31505.0,5.0
31605.0,6.0
31279.0,2.0
31224.0,2.0
31403.0,4.0
31217.0,6.0
31279.0,2.0
31245.0,2.0
31615.0,6.0
31635.0,8.0
31635.0,8.0
31217.0,6.0
31104.0,1.0
31299.0,2.0
31230.0,2.0
31818.0,8.0
31288.0,2.0
31313.0,3.0
31110.0,1.0
31108.0,6.0
31299.0,2.0
31264.0,2.0
31613.0,6.0
31663.0,6.0
31278.0,2.0
31200.0,2.0
31252.0,2.0
31637.0,6.0
31134.0,1.0
31328.0,2.0
30201.0,2.0
31331.0,3.0
31255.0,2.0
31242.0,2.0
31283.0,2.0
31229.0,2.0
31331.0,3.0
31131.0,1.0
31701.0,7.0
31218.0,6.0
31638.0,6.0
31621.0,6.0
31211.0,2.0
31248.0,2.0
30201.0,2.0
31299.0,2.0
31254.0,2.0
31296.0,1.0
31120.0,1.0
31707.0,7.0
